CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,ON02_01,ON02_02,ON02_03,ON04,ON19_01,ON19_02,ON21,ON22,ON22_02,ON23,ON23_02,ON25,ON26,ON26_02,ON27_01,ON27_02,ON28_01,ON28_02,ON15_01,ON15_02,ON15_03,ON15_04,ON15_05,ON15,ON16,ON31,ON17,ON17s,ON08_03,ON08_04,ON08_05,ON08_05a,ON08_06,ON08_06a,ON09,ON29,ON30,ON10,ON18,ON13,ON13_08,ON14,ON14_08,ON12,K201_01,K201_02,K201_03,K202_01,K202_02,K203,K206,K207,K207_02,K208,K208_02,K209,K210,K210_02,K211_01,K211_02,K212_01,K212_02,K204_01,K204_02,K204_03,K204_04,K204_05,K204,K205,K213,CQ13,CQ02_01,CQ02_02,CQ01_01,CQ01_02,CQ01_03,CQ01_04,CQ01_05,CQ01_06,CQ01_07,CQ01_08,CQ01_09,CQ03_01,CQ04_01,CQ05_01,CQ10_01,CQ10_02,CQ11,W210_01,W210_02,W202_01,W202_02,W201_01,W201_02,W201_03,W201_04,W201_05,W201_06,W201_07,W201_08,W201_09,W203_01,W204_01,W205_01,W213,GR03_01,GR03_02,ON35_01,W310_01,W310_02,W302_01,W302_02,W301_01,W301_02,W301_03,W301_04,W301_05,W301_06,W301_07,W301_08,W301_09,W303_01,W304_01,W305_01,W313,
1699,CBA1WY5PNY,,V0-2,interview,08.01.24 09:06,1,0,9,9,9,9,1.11,08.08.20,,2,2,17,92,1,1,,1,,4,1,,21:00,07:30,21:00,09:00,1,1,1,1,1,-1,-9,1,-2,13353,2,3,9,1,1,1,1,1,2,3,1,1,,-1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,CBA1WY5PNY,العربي,,,,,,,,,,,,,,,,,,
1713,51N13AE4GN,,V0-2,interview,08.01.24 11:37,1,0,9,9,0,0,1.50,05.06.17,6,1,2,14,122,1,1,,1,,3,1,,20:00,07:40,21:00,09:00,2,1,1,1,1,1,3,2,27,,3,3,,2,,2,1,2,1,1,1,4,,7,,6,21.10.18,4,2,13,110,2,1,1,,1,,3,1,,20:00,07:40,21:00,09:00,2,1,1,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,51N13AE4GN,"Arabisch,  Deutsch",,,,,,,,,,,,,,,,,,
1743,7SDV2CZWBZ,,V0-2,interview,15.01.24 11:31,1,0,9,9,0,0,0.79,06.09.20,2,1,1,16,102,1,1,,1,,2,1,,23:00,08:00,23:00,08:00,2,1,1,1,1,1,2,1,144,,2,1,3,1,,2,1,1,2,4,1,4,,4,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,7SDV2CZWBZ,"chinesisch, deutsch",,,,,,,,,,,,,,,,,,
1745,19WXDT4EQ4,,V0-2,interview,15.01.24 12:31,1,0,9,9,0,0,0.53,13.06.17,4,3,1,19,122,1,1,,1,,3,2,Fußball,21:00,07:00,22:00,09:00,1,1,1,1,1,-1,2,1,27,,2,3,15,1,6,1,1,1,2,1,3,4,,4,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,19WXDT4EQ4,"Arabisch,  Deutsch",,,,,,,,,,,,,,,,,,
1746,6R6UB4YFLG,,V0-2,interview,15.01.24 13:12,1,0,9,9,0,0,1.38,19.02.18,2,2,1,30,130,1,1,,1,,2,2,"Schiwmmen, Basketball",20:00,07:00,21:00,07:00,2,1,1,1,1,1,1,1,27,,2,2,8,1,,2,2,1,2,4,4,4,,4,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,6R6UB4YFLG,"Deutsch, Serbisch",,,,,,,,,,,,,,,,,,
1747,1HXNU27LF6,,V0-2,interview,15.01.24 13:13,1,0,9,9,0,0,1.19,20.08.19,2,1,1,16,100,1,1,,1,,2,2,Turnen,20:00,07:00,21:30,07:30,2,1,1,1,1,1,2,1,27,,2,1,,2,,2,1,2,1,4,4,4,,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,1HXNU27LF6,"Deutsch, englisch",,,,,,,,,,,,,,,,,,
1748,GQUHR9GQBQ,,V0-2,interview,15.01.24 13:13,1,0,9,9,0,0,0.46,01.01.18,6,3,1,15,116,1,1,,1,,3,1,,20:00,07:00,21:00,08:00,2,1,1,1,1,1,1,1,27,,1,2,9,1,6,1,3,1,2,1,-1,8,Reinigungkraft,-1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,GQUHR9GQBQ,Deutsch,,,,,,,,,,,,,,,,,,
1767,GQUHR9GQBQ,,Vx1-2,interview,19.01.24 09:00,1,0,3,3,0,0,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,GQUHR9GQBQ,,,,,,,,,,,,,,,,,,,
1777,US4QTZAVC5,,Vx1-2,interview,19.01.24 09:06,1,0,3,3,0,0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,1,1,1,1,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,US4QTZAVC5,,,,,,,,,,,,,,,,,,,
1786,W9EXE8K71V,,Vx1-2,interview,19.01.24 09:16,1,0,3,3,0,0,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,3,1,1,1,1,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,W9EXE8K71V,,,,,,,,,,,,,,,,,,,
1791,CBA1WY5PNY,,Vx1-2,interview,19.01.24 09:24,1,0,3,3,87,87,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-9,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,MTB3,CBA1WY5PNY,,,,,,,,,,,,,,,,,,,
1796,TCNYU8SR23,,Vx1-2,interview,19.01.24 09:48,1,0,3,3,0,0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,3,3,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,TCNYU8SR23,,,,,,,,,,,,,,,,,,,
1810,LXFGESMSHM,,Vx1-2,interview,19.01.24 11:41,1,0,3,3,0,0,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,1,1,1,1,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,LXFGESMSHM,,,,,,,,,,,,,,,,,,,
1832,2MW6M4ZF71,,Vx1-2,interview,20.01.24 09:03,1,0,4,4,0,0,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,2,1,1,1,1,1,1,1,1,04.01.18,1,2,07.04.21,2,2,-1,1,1,1,1,1,1,1,3,1,1,1,1,1,MTB3,2MW6M4ZF71,,,,,,,,,,,,,,,,,,,
1835,2S2Z6KK7PT,,Vx1-2,interview,20.01.24 09:10,1,0,3,3,80,80,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,MTB3,2S2Z6KK7PT,,,,,,,,,,,,,,,,,,,
1851,3XGERQZNP7,,Vx1-2,interview,20.01.24 11:55,1,0,3,3,0,0,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,3XGERQZNP7,,,,,,,,,,,,,,,,,,,
1862,7SDV2CZWBZ,,Vx1-2,interview,21.01.24 01:21,1,0,3,3,0,0,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,1,1,1,1,3,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,7SDV2CZWBZ,,,,,,,,,,,,,,,,,,,
1900,19WXDT4EQ4,,Vx1-2,interview,22.01.24 12:49,1,0,3,3,0,0,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,19WXDT4EQ4,,,,,,,,,,,,,,,,,,,
1921,CBA1WY5PNY,,Vx2-2,interview,26.01.24 09:00,1,0,3,3,0,0,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,-1,1,1,1,1,3,3,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,CBA1WY5PNY,,,,,,,,,,,,,,,,,,,
1936,GQUHR9GQBQ,,Vx2-2,interview,26.01.24 09:12,1,0,3,3,0,0,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,1,1,1,1,3,1,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,GQUHR9GQBQ,,,,,,,,,,,,,,,,,,,
1946,1HXNU27LF6,,Vx2-2,interview,26.01.24 09:31,1,0,3,3,0,0,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,2,1,1,1,1,2,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,1HXNU27LF6,,,,,,,,,,,,,,,,,,,
1960,W9EXE8K71V,,Vx2-2,interview,26.01.24 10:05,1,0,3,3,0,0,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,1,2,4,3,1,3,2,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,W9EXE8K71V,,,,,,,,,,,,,,,,,,,
1967,TCNYU8SR23,,Vx2-2,interview,26.01.24 10:50,1,0,3,3,0,0,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,3,1,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,TCNYU8SR23,,,,,,,,,,,,,,,,,,,
1968,LXFGESMSHM,,Vx2-2,interview,26.01.24 10:58,1,0,3,3,0,0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,-1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,LXFGESMSHM,,,,,,,,,,,,,,,,,,,
1969,3XGERQZNP7,,Vx2-2,interview,26.01.24 11:13,1,0,3,3,0,0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,5,2,1,1,1,3,3,2,4,2,1,1,4,17.09.18,5,1,,,,,,,,,,,,,,,,,,MTB3,3XGERQZNP7,,,,,,,,,,,,,,,,,,,
1989,7SDV2CZWBZ,,Vx2-2,interview,26.01.24 13:29,1,0,3,3,0,0,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,7SDV2CZWBZ,,,,,,,,,,,,,,,,,,,
1990,19WXDT4EQ4,,Vx2-2,interview,26.01.24 13:32,1,0,3,3,0,0,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,1,1,1,1,1,1,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,19WXDT4EQ4,,,,,,,,,,,,,,,,,,,
1991,1HXNU27LF6,,Vx1-2,interview,26.01.24 13:41,1,0,3,3,0,0,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-1,1,1,1,1,3,3,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,1HXNU27LF6,,,,,,,,,,,,,,,,,,,
1995,51N13AE4GN,,Vx1-2,interview,26.01.24 14:49,1,0,4,4,0,0,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,05.06.17,1,2,21.10.18,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,MTB3,51N13AE4GN,,,,,,,,,,,,,,,,,,,
1996,51N13AE4GN,,Vx2-2,interview,26.01.24 14:51,1,0,4,4,0,0,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,05.06.17,1,2,21.10.18,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,MTB3,51N13AE4GN,,,,,,,,,,,,,,,,,,,
2008,2MW6M4ZF71,,Vx2-2,interview,26.01.24 18:15,1,0,4,4,0,0,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,1,1,2,1,1,1,1,1,1,04.01.18,1,2,07.04.21,2,1,-1,1,1,1,1,2,1,1,3,1,1,1,1,1,MTB3,2MW6M4ZF71,,,,,,,,,,,,,,,,,,,
2021,2S2Z6KK7PT,,Vx2-2,interview,27.01.24 09:21,1,0,3,3,7,7,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,-1,2,1,1,1,1,1,1,2,-9,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,2S2Z6KK7PT,,,,,,,,,,,,,,,,,,,
2038,US4QTZAVC5,,Vx2-2,interview,27.01.24 13:38,1,0,3,3,0,0,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,3,3,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,US4QTZAVC5,,,,,,,,,,,,,,,,,,,
2067,VFTDSDEAX1,,Vx2-2,interview,30.01.24 00:23,1,0,4,4,0,0,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,-1,2,1,1,1,2,2,1,2,1,1,1,1,25.09.17,1,2,07.11.21,2,2,-1,2,1,1,1,2,2,2,1,1,1,1,1,1,MTB3,VFTDSDEAX1,,,,,,,,,,,,,,,,,,,
2071,6R6UB4YFLG,,Vx1-2,interview,31.01.24 12:49,1,0,3,3,0,0,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,6R6UB4YFLG,,,,,,,,,,,,,,,,,,,
2072,6R6UB4YFLG,,Vx2-2,interview,31.01.24 12:50,1,0,3,3,0,0,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,6R6UB4YFLG,,,,,,,,,,,,,,,,,,,
2080,GQUHR9GQBQ,,Vx3-2,interview,02.02.24 09:00,1,0,3,3,0,0,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,GQUHR9GQBQ,,,,,,,,,,,,,,,,,,,
2083,CBA1WY5PNY,,Vx3-2,interview,02.02.24 09:03,1,0,3,3,0,0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,CBA1WY5PNY,,,,,,,,,,,,,,,,,,,
2096,W9EXE8K71V,,Vx3-2,interview,02.02.24 09:12,1,0,3,3,0,0,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,2,2,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,W9EXE8K71V,,,,,,,,,,,,,,,,,,,
2106,19WXDT4EQ4,,Vx3-2,interview,02.02.24 09:30,1,0,3,3,0,0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,19WXDT4EQ4,,,,,,,,,,,,,,,,,,,
2112,6R6UB4YFLG,,Vx3-2,interview,02.02.24 09:45,1,0,3,3,0,0,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,6R6UB4YFLG,,,,,,,,,,,,,,,,,,,
2124,LXFGESMSHM,,Vx3-2,interview,02.02.24 10:19,1,0,3,3,0,0,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,LXFGESMSHM,,,,,,,,,,,,,,,,,,,
2135,3XGERQZNP7,,Vx3-2,interview,02.02.24 11:14,1,0,3,3,0,0,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,1,1,2,2,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,3XGERQZNP7,,,,,,,,,,,,,,,,,,,
2149,LXFGESMSHM,,V0-2,interview,02.02.24 12:51,1,0,9,9,0,0,0.33,23.07.19,3,1,2,17,114,1,1,,1,,3,1,,20:30,07:30,20:30,07:30,2,1,1,1,1,1,3,1,26,,2,1,,2,,2,1,1,2,4,4,8,Hausfrau,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTB3,LXFGESMSHM,Russisch,,,,,,,,,,,,,,,,,,
2150,US4QTZAVC5,,Vx3-2,interview,02.02.24 12:59,1,0,3,3,0,0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,3,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,US4QTZAVC5,,,,,,,,,,,,,,,,,,,
2162,1HXNU27LF6,,Vx3-2,interview,02.02.24 14:07,1,0,3,3,0,0,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,1HXNU27LF6,,,,,,,,,,,,,,,,,,,
2169,7SDV2CZWBZ,,Vx3-2,interview,02.02.24 15:59,1,0,3,3,0,0,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-1,4,1,1,1,2,2,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,7SDV2CZWBZ,,,,,,,,,,,,,,,,,,,
2184,2MW6M4ZF71,,Vx3-2,interview,03.02.24 09:10,1,0,4,4,0,0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,1,1,1,1,1,1,2,1,1,04.01.18,1,2,07.04.21,2,2,-1,1,1,1,3,2,2,1,3,1,1,1,1,1,MTB3,2MW6M4ZF71,,,,,,,,,,,,,,,,,,,
2195,2S2Z6KK7PT,,Vx3-2,interview,03.02.24 10:18,1,0,3,3,0,0,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,2S2Z6KK7PT,,,,,,,,,,,,,,,,,,,
2216,TCNYU8SR23,,Vx3-2,interview,05.02.24 19:57,1,0,3,3,0,0,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,2,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,TCNYU8SR23,,,,,,,,,,,,,,,,,,,
2234,GQUHR9GQBQ,,Vx4-2,interview,09.02.24 09:01,1,0,3,3,0,0,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,GQUHR9GQBQ,,,,,,,,,,,,,,,,,,,
2240,2S2Z6KK7PT,,Vx4-2,interview,09.02.24 09:06,1,0,3,3,0,0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,4,1,1,1,1,1,4,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,2S2Z6KK7PT,,,,,,,,,,,,,,,,,,,
2253,W9EXE8K71V,,Vx4-2,interview,09.02.24 09:21,1,0,3,3,0,0,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,2,2,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,W9EXE8K71V,,,,,,,,,,,,,,,,,,,
2268,1HXNU27LF6,,Vx4-2,interview,09.02.24 09:56,1,0,3,3,0,0,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,1HXNU27LF6,,,,,,,,,,,,,,,,,,,
2287,7SDV2CZWBZ,,Vx4-2,interview,09.02.24 11:11,1,0,3,3,0,0,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,7SDV2CZWBZ,,,,,,,,,,,,,,,,,,,
2298,19WXDT4EQ4,,Vx4-2,interview,09.02.24 11:46,1,0,3,3,0,0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,5,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,19WXDT4EQ4,,,,,,,,,,,,,,,,,,,
2299,LXFGESMSHM,,Vx4-2,interview,09.02.24 11:46,1,0,3,3,0,0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-1,1,1,1,1,3,1,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,LXFGESMSHM,,,,,,,,,,,,,,,,,,,
2323,2MW6M4ZF71,,Vx4-2,interview,09.02.24 14:42,1,0,4,4,0,0,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,-1,1,1,1,1,1,1,1,2,1,2,1,1,04.01.18,1,2,07.04.21,2,1,-1,1,1,1,1,2,1,1,3,1,1,1,1,1,MTB3,2MW6M4ZF71,,,,,,,,,,,,,,,,,,,
2350,TCNYU8SR23,,Vx4-2,interview,10.02.24 10:21,1,0,3,3,6,6,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9,5,-1,4,3,1,2,3,1,1,2,1,2,2,2,25.01.21,3,1,,,,,,,,,,,,,,,,,,MTB3,TCNYU8SR23,,,,,,,,,,,,,,,,,,,
2352,3XGERQZNP7,,Vx4-2,interview,10.02.24 11:49,1,0,3,3,0,0,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,4,1,1,3,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,3XGERQZNP7,,,,,,,,,,,,,,,,,,,
2365,US4QTZAVC5,,Vx4-2,interview,11.02.24 07:25,1,0,3,3,0,0,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,MTB3,US4QTZAVC5,,,,,,,,,,,,,,,,,,,
